,Date,MCB  Pakistan Sovereign Fund,MCB Cash Management Optimizer ,MCB DCF Income Fund,MCB Pakistan Asset Allocation Fund,MCB Pakistan Frequent Payout Fund,MCB Pakistan Stock Market Fund,Pakistan Capital Market Fund,Pakistan Cash Management Fund,Pakistan Income Enhancement Fund,Pakistan Income Fund
1,1/1/2018,54.46,103.2209,108.7498,77.9729,100.6964,91.8073,10.84,51.4709,54.4901,54.923
2,1/2/2018,54.47,103.2363,108.7626,78.5543,100.7099,93.5728,10.96,51.4774,54.4987,54.9297
3,1/3/2018,54.47,103.2532,108.777,78.4904,100.7231,93.638,10.96,51.4839,54.506,54.9381
4,1/4/2018,54.48,103.2673,108.7913,78.727,100.7477,94.4219,11.02,51.4906,54.514,54.9462
5,1/5/2018,54.49,103.2818,108.9001,79.2008,100.7652,95.5208,11.11,51.4988,54.5721,55.0036
6,1/8/2018,54.51,103.3284,108.9374,79.5418,100.8218,96.5253,11.19,51.5206,54.5958,55.0242
7,1/9/2018,54.52,103.3426,108.9455,79.4182,100.8418,95.8448,11.13,51.5262,54.6056,55.0312
8,1/10/2018,54.52,103.3572,108.9589,80.0874,100.882,97.6502,11.27,51.5332,54.613,55.0378
9,1/11/2018,54.53,103.3718,108.9723,80.0564,100.8988,97.0842,11.25,51.5394,54.6207,55.0447
10,1/12/2018,54.54,103.3872,108.9864,79.6491,100.9126,96.1537,11.18,51.5457,54.6282,55.0513
11,1/15/2018,54.56,103.4311,109.026,79.1641,100.9489,94.8655,11.08,51.5644,54.64,55.0712
12,1/16/2018,54.57,103.4455,109.038,79.6227,100.9623,96.3224,11.19,51.5712,54.6449,55.0754
13,1/17/2018,54.58,103.46,109.0616,79.9384,100.9768,97.1247,11.25,51.577,54.6559,55.0874
14,1/18/2018,54.59,103.4743,109.0762,79.9843,100.9882,97.547,11.29,51.5833,54.6645,55.0946
15,1/19/2018,54.59,103.4891,109.0885,80.4466,101.0075,98.5839,11.35,51.5882,54.6731,55.101
16,1/22/2018,54.62,103.533,109.0951,80.981,101.0837,99.831,11.46,51.6072,54.6759,55.0997
17,1/23/2018,54.62,103.5478,109.1052,80.9545,101.0983,99.77,11.47,51.6125,54.6838,55.1064
18,1/24/2018,54.63,103.5626,109.1271,81.0144,101.1135,99.8289,11.45,51.6186,54.6951,55.1183
19,1/25/2018,54.64,103.5779,109.0683,80.8573,101.1262,99.1398,11.39,51.6252,54.6883,55.1027
20,1/26/2018,54.65,103.592,109.0858,80.8184,101.1408,98.6807,11.36,51.6311,54.6959,55.1087
21,1/29/2018,54.63,103.6349,109.1099,80.8607,101.0788,99.0754,11.39,51.6508,54.693,55.1289
22,1/30/2018,54.64,103.6481,109.1302,80.8985,101.1364,98.6868,11.37,51.6562,54.7115,55.1378
23,1/31/2018,54.65,103.6635,109.1817,80.8365,100.7431,98.2958,11.35,51.6626,54.7393,55.1661
24,2/1/2018,54.66,103.6785,109.1956,80.9149,100.7697,98.7221,11.38,51.6684,54.7449,55.1688
25,2/2/2018,54.67,103.6975,109.2099,80.9932,100.7836,98.886,11.41,51.6726,54.7534,55.1757
26,2/5/2018,54.69,103.7436,109.2514,81.0035,100.8239,NA,11.41,51.6943,54.7777,55.196
